,comic_name,issue_title,publish_date,issue_description,penciler,writer,cover_artist,Price
38,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #3,2022-03-02,,Rafael De Latorre,Chip Zdarsky,nan,$3.99
39,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #3 (Variant),2022-03-02,,Rafael De Latorre,Chip Zdarsky,nan,$3.99
40,Daredevil Epic Collection: Heart of Darkness (2022),Daredevil Epic Collection: Heart of Darkness (Trade Paperback),2022-02-09,,Rick Leonardi,Gregory Wright,nan,$44.99
41,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #2 (Variant),2022-02-02,,Rafael De Latorre,Chip Zdarsky,nan,$3.99
43,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #2,2022-02-02,,Rafael De Latorre,Chip Zdarsky,nan,$3.99
44,Daredevil Epic Collection: Going Out West (2022),Daredevil Epic Collection: Going Out West (Trade Paperback),2022-01-26,,Syd Shores,Jim Starlin,nan,$44.99
45,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #1 (Variant),2022-01-12,,Rafael De Latorre,Chip Zdarsky,nan,$4.99
50,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #1,2022-01-12,,Rafael De Latorre,Chip Zdarsky,nan,$4.99
51,Daredevil by Chip Zdarsky Vol. 7: Lockdown (2022),Daredevil by Chip Zdarsky Vol. 7: Lockdown (Trade Paperback),2022-01-12,,Stefano Landini,Chip Zdarsky,nan,$17.99
52,Daredevil Epic Collection: Dead Man's Hand (2021),Daredevil Epic Collection: Dead Man's Hand (Trade Paperback),2021-12-29,,John Hebert,Fabian Nicieza,nan,$44.99
53,Daredevil (2019 - 2021),Daredevil (2019) #36 (Variant),2021-12-01,,Manuel Garcia,Chip Zdarsky,nan,$4.99
55,Daredevil (2019 - 2021),Daredevil (2019) #36,2021-12-01,,Manuel Garcia,Chip Zdarsky,nan,$4.99
56,Daredevil (2019 - 2021),Daredevil (2019) #35,2021-10-27,,Francesco Mobili,Chip Zdarsky,nan,$3.99
57,Daredevil (2019 - 2021),Daredevil (2019) #35 (Variant),2021-10-27,,Stefano Landini,Chip Zdarsky,nan,$3.99
58,Daredevil By Chip Zdarsky Vol. 6: Doing Time (2021),Daredevil By Chip Zdarsky Vol. 6: Doing Time (Trade Paperback),2021-09-22,,Mike Hawthorne,Chip Zdarsky,nan,$15.99
59,Daredevil (2019 - 2021),Daredevil (2019) #34 (Variant),2021-09-08,,Stefano Landini,Chip Zdarsky,nan,$3.99
61,Daredevil (2019 - 2021),Daredevil (2019) #34,2021-09-08,,Stefano Landini,Chip Zdarsky,nan,$3.99
62,Daredevil (2019 - 2021),Daredevil (2019) #33 (Variant),2021-08-11,,Marco Checchetto,Chip Zdarsky,nan,$3.99
63,Daredevil (2019 - 2021),Daredevil (2019) #33,2021-08-11,,Vc Clayton Cowles,Chip Zdarsky,nan,$3.99
64,Daredevil (2019 - 2021),Daredevil (2019) #32 (Variant),2021-07-28,,Mike Hawthorne,Chip Zdarsky,nan,$3.99
65,Daredevil (2019 - 2021),Daredevil (2019) #32,2021-07-28,,Mike Hawthorne,Chip Zdarsky,nan,$3.99
66,Daredevil (2019 - 2021),Daredevil (2019) #31 (Variant),2021-06-30,,Mike Hawthorne,Chip Zdarsky,nan,$3.99
67,Daredevil (2019 - 2021),Daredevil (2019) #31,2021-06-30,,Mike Hawthorne,Chip Zdarsky,nan,$3.99
68,Daredevil (2019 - 2021),Daredevil (2019) #30,2021-05-19,,Mike Hawthorne,Chip Zdarsky,nan,$3.99
69,Daredevil (2019 - 2021),Daredevil (2019) #29 (Variant),2021-04-14,,Marco Checchetto,Chip Zdarsky,nan,$3.99
70,Daredevil (2019 - 2021),Daredevil (2019) #29,2021-04-14,,Vc Clayton Cowles,Chip Zdarsky,nan,$3.99
71,Daredevil by Chip Zdarsky: To Heaven Through Hell Vol. 1 (2021),Daredevil by Chip Zdarsky: To Heaven Through Hell Vol. 1 (Trade Paperback),2021-03-17,,Marco Checchetto,Chip Zdarsky,nan,$34.99
72,Daredevil (2019 - 2021),Daredevil (2019) #28,2021-03-10,,Vc Clayton Cowles,Chip Zdarsky,nan,$3.99
73,Daredevil (2019 - 2021),Daredevil (2019) #28 (Variant),2021-03-10,,Marco Checchetto,Chip Zdarsky,nan,$3.99
