,comic_name,issue_title,publish_date,issue_description,penciler,writer,cover_artist,Price
11,Daredevil (2022 - Present),Daredevil (2022) #2 (Variant),2022-08-17,,Marco Checchetto,Chip Zdarsky,,$5.99
12,Daredevil (2022 - Present),Daredevil (2022) #2 (Variant),2022-08-17,,Marco Checchetto,Chip Zdarsky,,$5.99
13,Daredevil (2022 - Present),Daredevil (2022) #2 (Variant),2022-08-17,,Marco Checchetto,Chip Zdarsky,,$5.99
14,Daredevil (2022 - Present),Daredevil (2022) #2,2022-08-17,,John Romita Jr.,Chip Zdarsky,,$5.99
15,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (Trade Paperback),2022-07-27,,Rafael De Latorre,Chip Zdarsky,,$15.99
16,Daredevil (2022 - Present),Daredevil (2022) #1 (Variant),2022-07-13,,Marco Checchetto,Chip Zdarsky,,$4.99
17,Daredevil (2022 - Present),Daredevil (2022) #1,2022-07-13,,Rafael De Latorre,Chip Zdarsky,,$4.99
18,Daredevil (2022 - Present),Daredevil (2022) #1 (Variant),2022-07-13,,Marco Checchetto,Chip Zdarsky,,$4.99
19,Daredevil (2022 - Present),Daredevil (2022) #1 (Variant),2022-07-13,,Marco Checchetto,Chip Zdarsky,,$4.99
20,Daredevil (2022 - Present),Daredevil (2022) #1 (Variant),2022-07-13,,Marco Checchetto,Chip Zdarsky,,$4.99
21,Daredevil (2022 - Present),Daredevil (2022) #1 (Variant),2022-07-13,,Marco Checchetto,Chip Zdarsky,,$4.99
22,Daredevil (2022 - Present),Daredevil (2022) #1 (Variant),2022-07-13,,Marco Checchetto,Chip Zdarsky,,$4.99
23,Daredevil (2022 - Present),Daredevil (2022) #1 (Variant),2022-07-13,,Marco Checchetto,Chip Zdarsky,,$4.99
24,Daredevil (2022 - Present),Daredevil (2022) #1 (Variant),2022-07-13,,Rafael De Latorre,Chip Zdarsky,,$4.99
25,Daredevil (2022 - Present),Daredevil (2022) #1 (Variant),2022-07-13,,Marco Checchetto,Chip Zdarsky,,$4.99
26,Daredevil By Brubaker & Lark Omnibus Vol. 1 (2022),Daredevil By Brubaker & Lark Omnibus Vol. 1 (Trade Paperback),2022-06-08,,John Romita Sr.,Ed Brubaker,,$100
27,Daredevil By Chip Zdarsky: To Heaven Through Hell Vol. 2 (2021),Daredevil By Chip Zdarsky: To Heaven Through Hell Vol. 2 (Trade Paperback),2022-03-23,,Francesco Mobili,Chip Zdarsky,,$39.99
28,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #3,2022-03-02,,Rafael De Latorre,Chip Zdarsky,,$3.99
29,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #3 (Variant),2022-03-02,,Rafael De Latorre,Chip Zdarsky,,$3.99
30,Daredevil Epic Collection: Heart of Darkness (2022),Daredevil Epic Collection: Heart of Darkness (Trade Paperback),2022-02-09,,Rick Leonardi,Gregory Wright,,$44.99
31,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #2 (Variant),2022-02-02,,Rafael De Latorre,Chip Zdarsky,,$3.99
32,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #2 (Variant),2022-02-02,,Rafael De Latorre,Chip Zdarsky,,$3.99
