,description,writer,penciler,comic_name,issue_title,publish_date,Price,cover artist
75,,Terry Moore,Craig Rousseau,Spider-Man Loves Mary Jane: The Secret Thing (2020),Spider-Man Loves Mary Jane: The Secret Thing (Trade Paperback),2020-09-30T00:00:00-0400,12.99,
76,,Margaret Stohl,Vc Travis Lanham,Spider-Man Noir (2020),Spider-Man Noir (2020) #4 (Variant),2020-09-23T00:00:00-0400,3.99,Declan Shalvey
77,,J.J Abrams,Sara Pichelli,Spider-Man (2019 - 2020),Spider-Man (2019) #4 (Variant),2020-09-23T00:00:00-0400,3.99,David Curiel
78,,Fred Van Lente,Michael Lark,SPIDER-MAN: THE GAUNTLET - THE COMPLETE COLLECTION VOL. 2 TPB (2020),SPIDER-MAN: THE GAUNTLET - THE COMPLETE COLLECTION VOL. 2 TPB (Trade Paperback),2020-09-23T00:00:00-0400,44.99,
79,,Margaret Stohl,Vc Travis Lanham,Spider-Man Noir (2020),Spider-Man Noir (2020) #4,2020-09-23T00:00:00-0400,3.99,Dave Rapoza
80,,J.J Abrams,Elisabetta D'AMICO,Spider-Man (2019 - 2020),Spider-Man (2019) #4 (Variant),2020-09-23T00:00:00-0400,3.99,Dave Stewart
81,,J.J Abrams,Sara Pichelli,Spider-Man (2019 - 2020),Spider-Man (2019) #4,2020-09-23T00:00:00-0400,3.99,Dave Stewart
82,,,,Spider-Man: Spider-verse - Spider-Women (2020),Spider-Man: Spider-verse - Spider-Women (Trade Paperback),2020-09-16T00:00:00-0400,9.99,
83,,Margaret Stohl,Vc Travis Lanham,Spider-Man Noir (2020),Spider-Man Noir (2020) #3 (Variant),2020-08-26T00:00:00-0400,3.99,Patrick Okeefe
84,,Margaret Stohl,Vc Travis Lanham,Spider-Man Noir (2020),Spider-Man Noir (2020) #3,2020-08-26T00:00:00-0400,3.99,Dave Rapoza
85,,,,Spider-Man Facsimile Edition (2020),Spider-Man Facsimile Edition (2020) #1,2020-08-19T00:00:00-0400,3.99,
86,,Margaret Stohl,Vc Travis Lanham,Spider-Man Noir (2020),Spider-Man Noir (2020) #2 (Variant),2020-07-29T00:00:00-0400,3.99,Dan Panosian
87,,Margaret Stohl,Vc Travis Lanham,Spider-Man Noir (2020),Spider-Man Noir (2020) #2,2020-07-29T00:00:00-0400,3.99,Dave Rapoza
88,,,,Spider-Man: Spidey's Totally Tiny Adventure (2020),Spider-Man: Spidey's Totally Tiny Adventure (Trade Paperback),2020-05-20T00:00:00-0400,0.0,
89,,,,SPIDER-MAN: VIBRANIUM VENDETTA (2020),SPIDER-MAN: VIBRANIUM VENDETTA (Trade Paperback),2020-04-29T00:00:00-0400,0.0,
90,,Mariko Tamaki,,Spider-Man & Venom: Double Trouble (2020),Spider-Man & Venom: Double Trouble (Trade Paperback),2020-04-08T00:00:00-0400,12.99,
91,,Margaret Stohl,Vc Travis Lanham,Spider-Man Noir (2020),Spider-Man Noir (2020) #1 (Variant),2020-03-04T00:00:00-0500,3.99,Richard Isanove
92,,Margaret Stohl,Vc Travis Lanham,Spider-Man Noir (2020),Spider-Man Noir (2020) #1 (Variant),2020-03-04T00:00:00-0500,3.99,
93,,Margaret Stohl,Vc Travis Lanham,Spider-Man Noir (2020),Spider-Man Noir (2020) #1 (Variant),2020-03-04T00:00:00-0500,3.99,Guru Efx
94,,Margaret Stohl,Vc Travis Lanham,Spider-Man Noir (2020),Spider-Man Noir (2020) #1 (Variant),2020-03-04T00:00:00-0500,3.99,Israel Silva
95,,Margaret Stohl,Vc Travis Lanham,Spider-Man Noir (2020),Spider-Man Noir (2020) #1,2020-03-04T00:00:00-0500,3.99,
96,,,,Spider-Man: Miles Morales Omnibus (2020),Spider-Man: Miles Morales Omnibus (Hardcover),2020-02-12T00:00:00-0500,100.0,
97,,Mariko Tamaki,Vc Travis Lanham,Spider-Man & Venom: Double Trouble (2019 - 2020),Spider-Man & Venom: Double Trouble (2019) #4,2020-02-05T00:00:00-0500,3.99,G Gurihiru
98,,Mariko Tamaki,Vc Travis Lanham,Spider-Man & Venom: Double Trouble (2019 - 2020),Spider-Man & Venom: Double Trouble (2019) #3,2020-01-01T00:00:00-0500,3.99,G Gurihiru
99,,J.J Abrams,Vc Joe Caramagna,Spider-Man (2019 - 2020),Spider-Man (2019) #3 (Variant),2019-12-18T00:00:00-0500,3.99,Dave Stewart
